id,nombre,descripcion,casa_productora,precio,existencia
483,Sertraline Hydrochloride,"Nondisp suprcndl fx w/o intrcndl extn low end l femr, 7thR","Med-Health Pharma, LLC",$133.36,8
484,Topiramate,"Traum subdr hem w LOC w dth d/t brain inj bef reg consc,init",Hikma Pharmaceutical,$622.93,1
485,fexofenadine hydrochloride,Swm-pool in sngl-fmly (private) house or garden as place,Western Family Foods Inc,$298.93,1
486,Spironolactone,"Unspecified open wound, unspecified hip, subs encntr",Aidarex Pharmaceuticals LLC,$475.67,5
487,Thuja occidentalis,"Other superficial bite of scrotum and testes, subs encntr",Natures Way Holding Co.,$428.45,15
488,Polyethylene Glycol (3350),"Sprain of interphalangeal joint of r little finger, sequela",CRH Medical Corporation,$564.14,10
489,LANOXIN,"Nondisp subtrochnt fx l femur, init for opn fx type 3A/B/C",REMEDYREPACK INC.,$867.02,14
490,GUNA-STOMACH,"Inferior dislocation of unsp acromioclav jt, sequela",Guna spa,$599.11,13
491,hydrocortisone,"Toxic effect of chloroform, assault, subsequent encounter",E. FOUGERA & CO. A division of Fougera Pharmaceuticals Inc.,$642.16,9
492,daytime,"Unspecified injury of tail of pancreas, subsequent encounter",Hannaford Brothers Company,$92.37,15
493,Clean and Clear Advantage Mark Treatment,"Oth fx upper end unsp tibia, subs for clos fx w routn heal","Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",$529.65,7
494,Sweet Golden Pear Antibacterial Foaming Hand Wash,Complete traumatic transphalangeal amputation of l idx fngr,"SJ Creations, Inc.",$797.93,6
495,Glyburide,Dislocation of right scapula,"Physicians Total Care, Inc.",$210.23,11
496,Ipratropium Bromide and Albuterol Sulfate,Heat syncope,"Mylan Pharmaceuticals, Inc.",$979.85,14
497,napoleon PERDIS CHINA DOLL FOUNDATION BROAD SPECTRUM SPF 15 Look 2B,"Osteonecrosis due to drugs, left ankle","Napoleon Perdis Cosmetics, Inc",$635.18,15
498,Duloxetine,"Perf due to fb acc left in body fol oth procedure, init",Cadila Healthcare Limited,$786.17,7
499,TAXODIUM DISTICHUM POLLEN,Acquired total absence of pancreas,"ALK-Abello, Inc.",$415.38,4
500,Gelnique,"Puncture wound w foreign body of unsp part of head, init","Watson Pharma, Inc.",$649.69,10
501,Desmopressin Acetate,"Drug-induced headache, not elsewhere classified, intractable",Bryant Ranch Prepack,$279.49,12
502,Anticavity Fluoride Rinse,"Other Hodgkin lymphoma, lymph nodes of axilla and upper limb",Rite Aid,$714.82,7
503,Exchange Select Dark Tanning Sunscreen,"Abrasion, left thigh",ARMY AND AIR FORCE EXCHANGE SERVICE,$104.41,7
504,Enalapril Maleate and Hydrochlorothiazide,Other intestinal malabsorption,Teva Pharmaceuticals USA Inc,$104.66,7
505,CUBA ORIGINAL LADIES ROLL ON ANTIPERSPIRANT DEODORANT,Bariatric surgery status complicating the puerperium,"BB TRADING WORLDWIDE, INC",$889.21,6
506,Acetaminophen and Codeine Phosphate,"Occup of hv veh injured in clsn w pedl cyc nontraf, init",Teva Pharmaceuticals USA Inc,$767.22,13
507,TYLENOL SINUS,"Coma scale, best motor response, abnormal, in the field","McNeil Consumer Healthcare Div McNeil-PPC, Inc",$415.30,9
508,Citalopram,Crushing injury of knee,"Physicians Total Care, Inc.",$419.23,9
509,Hectorol,"Fracture of unsp shoulder girdle, part unsp, init for opn fx",Genzyme Corporation,$375.04,6
510,Revatio,"Poisoning by oth opioids, accidental, sequela",Pfizer Laboratories Div Pfizer Inc,$414.64,12
511,Lombardy Poplar,Herpesviral infection of other urogenital tract,"Nelco Laboratories, Inc.",$148.64,9
512,Bodycology white gardenia anti-bacterial scrubbing hand soap,"Laceration with foreign body of nose, initial encounter",American Blending and Filling,$715.04,10
513,Pleo Alb,Other specified injuries of left ankle,Sanum Kehlbeck GmbH & Co. KG,$715.80,13
514,ZAREE All Kii Coconut Water,"Oth extrartic fx low end l rad, subs for clos fx w malunion","G & NATURE Co., Ltd.",$740.32,1
515,Hydroxychloroquine Sulfate,Vitreous hemorrhage,"Physicians Total Care, Inc.",$165.30,12
516,Mandelay,"Disp fx of unsp ulna styloid pro, 7thM","Majestic Drug Co., INC.",$128.58,9
517,Quack Grass,"Nondisp transverse fx shaft of r rad, 7thN","Nelco Laboratories, Inc.",$738.63,15
518,Koh Gen Do Aqua Foundation,"Nondisp fx of lesser trochanter of right femur, init","Koh Gen Do USA, Inc",$402.36,15
519,ChloraPrep One-Step,"Unsp physl fx lower end unsp femur, subs for fx w delay heal",CareFusion 213 LLC,$542.19,8
520,Nabumetone,"War operations involving gasoline bomb, civilian, sequela","AvKARE, Inc.",$862.31,5
521,Carbocaine,"Nondisp fx of shaft of 5th MC bone, r hand, 7thP","Hospira, Inc.",$833.20,14
522,Phenazopyridine HCl,Unspecified purulent endophthalmitis,A-S Medication Solutions LLC,$297.63,9
523,OXYGEN,"Unsp inj extn musc/fasc/tend r lit fngr at forarm lv, init",Advanced Apothecaries Inc. dba Health Depot,$997.91,3
524,Ciprofloxacin,"Nondisp fx of glenoid cav of scapula, r shldr, 7thP","Carlsbad Technology, Inc.",$783.23,9
525,CENTER-AL - XANTHIUM STRUMARIUM POLLEN,"Oth osteopor w crnt path fx, r ank/ft, 7thG","ALK-Abello, Inc.",$603.23,8
526,Estradiol,"Nondisp fx of nk of scapula, l shldr, subs for fx w nonunion",Bryant Ranch Prepack,$886.11,1
527,Ibuprofen,"Subluxation of tarsal joint of unspecified foot, subs encntr","Healthy Accents (DZA Brands, LLC)",$12.82,6
528,Furosemide,"Laceration w/o fb of abd wall, l upr q w/o penet perit cav",Cardinal Health,$368.88,8
529,Frosted Berry Hand Sanitizer,Malig neoplm of upper-outer quadrant of right female breast,"Papermates, Inc. dba Noteworthy",$805.77,13
530,Oxaliplatin,Newborn affected by incompetent cervix,Sandoz Inc,$572.11,3
531,VITALUMIERE AQUA,"Unspecified dislocation of unspecified toe(s), subs encntr",CHANEL PARFUMS BEAUTE,$142.31,11
532,Topiramate,"Toxic effect of sulfur dioxide, intentional self-harm, subs",REMEDYREPACK INC.,$511.04,15
533,Aminophylline,Toxic effect of unspecified spider venom,Cardinal Health,$277.23,1
534,Lorazepam,"Asphyx due to smothr under another person's body, acc, sqla",AvPAK,$631.84,2
535,Metformin Hydrochloride,"Nondisp seg fx shaft of humer, r arm, 7thD",Greenstone LLC,$141.55,4
536,BB Tinted Treatment 12-hour Primer Broad Spectrum SPF 30 Sunscreen,Open bite of unspecified shoulder,"Tarte, Inc",$773.20,12
537,Neostigmine Methylsulfate,"Nondisp intartic fx unsp calcaneus, subs for fx w nonunion","American Regent, Inc.",$229.02,13
538,Nitrous Oxide,Neoplasm of uncertain behavior of the major salivary glands,Praxair Distribution Southeast LLC,$762.41,4
539,Stoko Refresh,"Disorder of the skin and subcutaneous tissue, unspecified","Evonik Stockhausen, LLC",$638.91,11
540,Sodium Fluoride,"Fall into oth water striking wall causing oth injury, init","Shertech Laboratories, LLC",$686.11,13
541,7 Select Childrens Allergy Relief,"Wrist drop, unspecified wrist",7-Eleven,$944.39,9
542,Triple Antibiotic,Malignant neoplasm of ethmoidal sinus,"New World Imports, Inc",$48.44,1
543,Sulwhasoo evenfair smoothing makeup base NO. 1,Newborn aff by other morpholog and functn abnlt of placenta,AMOREPACIFIC,$922.18,14
544,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, and DOXYLAMINE SUCCINATE","Sedative, hypnotic or anxiolytic-related use, unspecified","SPIRIT PHARMACEUTICALS, LLC",$292.02,7
545,No7 Protect and Perfect Foundation Sunscreen Broad Spectrum SPF 15 Cool Vanilla,"Calcium deposit in bursa, right elbow",BCM Cosmetique SAS,$315.30,7
546,Toxoplasma Gondii Remedy,"Displ oblique fx shaft of l ulna, 7thK","Deseret Biologicals, Inc.",$202.09,3
547,"Carbidopa, Levodopa and Entacapone","Aneurysmal bone cyst, left forearm",Sun Pharma Global FZE,$641.93,9
548,Citalopram,"Nondisp fx of l tibial tuberosity, init for opn fx type I/2","Amneal Pharmaceuticals of New York, LLC",$487.10,3
549,smart sense allergy and congestion relief,"Breakdown (mechanical) of urinary devices and implants, subs",Kmart Corporation,$144.35,13
550,Cefuroxime Axetil,"Car passenger injured in clsn w pick-up truck in traf, init",Aurobindo Pharma Limited,$693.46,1
551,Sisal,Unspecified superficial injury of left foot,"Nelco Laboratories, Inc.",$559.65,9
552,Lisinopril with Hydrochlorothiazide,Furuncle of left upper limb,West-Ward Pharmaceutical Corp,$571.15,13
553,Oxcarbazepine,Bruising of scalp due to birth injury,REMEDYREPACK INC.,$569.40,8
554,Mini Berry Lip Balm Blueberry,"Collapsed vertebra, NEC, lumbosacral region","TONYMOLY CO., LTD.",$798.40,5
555,ARRID EXTRA EXTRA DRY XX,"Nondisp commnt fx r patella, subs for clos fx w delay heal","Church & Dwight Co., Inc.",$492.68,2
556,Rimmel London,"Poisoning by tetracyclic antidepressants, undetermined",Lancaster S.A.M.,$524.95,5
557,TRETIN.X,"Occup of bus injured in clsn w pedl cyc in traf, sequela",Onset Dermatologics LLC,$776.16,13
558,Equaline hemorrhoidal cooling,Calculus of bile duct w acute cholangitis with obstruction,Supervalu Inc,$850.87,10
559,SHOPKO RELIEF,"Unsp nondisp fx of 4th cervcal vert, subs for fx w nonunion","HANLIM PHARM. CO., LTD.",$401.54,15
560,MSM (MoSaengMo),"External constriction, unspecified ankle, initial encounter",Handock Cosmetics Inc,$463.88,6
561,Cover Fx Blemish Treatment Concealer G Medium,Displacement of internal fixation device of other bones,"Cover FX Skin Care, Inc.",$324.84,13
562,Blueberry,"Other vitreous opacities, right eye","Nelco Laboratories, Inc.",$161.14,5
563,"Pollens - Trees, Cedar, Mountain Juniperus ashei","Underdosing of cardi-stim glycos/drug simlar act, sequela",Jubilant HollisterStier LLC,$675.43,15
564,Loratadine ODT,"Unsp fx head of l femr, 7thE",Premier Value,$315.00,14
565,Lovastatin,"Toxic effect of contact w sea anemone, undetermined, sequela",Teva Pharmaceuticals USA Inc,$189.76,1
566,Perfecting Liquid Foundation Soft Blush,Unspecified sequelae of unspecified cerebrovascular disease,"Arbonne International, LLC",$104.56,5
567,Ketorolac Tromethamine,ABO incompatibility with hemolytic transfusion reaction,"Hospira, Inc.",$662.93,6
568,Somatuline Depot,Occupant (driver) of 3-whl mv injured in unsp traf,"Ipsen Biopharmaceuticals, Inc.",$57.63,8
569,BAMBUSA AESCULUS,"Anemia due to enzyme disorder, unspecified",URIEL PHARMACY INC.,$288.10,12
570,GLUCOVANCE,"Hypertrophy of bone, right femur",Bristol-Myers Squibb Company,$986.13,11
571,Corn Smut,Inj flexor musc/fasc/tend right ring finger at forearm level,"Nelco Laboratories, Inc.",$139.55,2
572,12 hour decongestant,"Periprosth fx around internal prosth r shoulder jt, subs",Meijer Distribution Inc,$33.86,13
573,Meteoric Iron Phosphorus Quartz,"Unstbl burst fx fourth lum vert, subs for fx w delay heal",Uriel Pharmacy Inc.,$73.80,14
574,Loratadine,"Burn of first deg mult sites of left wrist and hand, init",American Health Packaging,$944.89,14
575,Fosphenytoin,Other specified disorders of cartilage,"Fresenius Kabi USA, LLC",$974.82,6
576,tizanidine,"Terrorism involving oth means, civilian injured, subs encntr",Apotex Corp.,$108.43,12
577,Medline ReadyBath Luxe,Retrobulbar neuritis,"Medline Industries, Inc.",$907.65,2
578,Calcium Acetate,Asymptomatic varicose veins of left lower extremity,"NCS HealthCare of KY, Inc dba Vangard Labs",$518.81,2
579,ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic),"Cortical age-related cataract, bilateral","Fenwal, Inc.",$486.63,5
580,Esopinio Topaz Phyto,"Nondisp midcervical fx l femur, init for opn fx type 3A/B/C","ZION SYNTHETIC FIBER CO., LTD.",$829.22,13
581,Russian Olive,"Erosn implnt vaginal mesh to surrnd org/tiss, subs","Nelco Laboratories, Inc.",$15.74,7
582,RISPERIDONE,"Burn due to fishing boat on fire, sequela","Caraco Pharmaceutical Laboratories, Ltd.",$907.38,8
583,Palmers Amaranth,Unspecified acquired deformity of hand,"Nelco Laboratories, Inc.",$660.59,1
584,Losartan Potassium,Legionnaires' disease,"NCS HealthCare of KY, Inc dba Vangard Labs",$348.19,4
585,Shopko Antibacterial Hand Sanitizer,Other physeal fracture of lower end of unspecified femur,"Jets, Sets, & Elephants Beauty Corp.",$966.24,9
586,Finasteride,"Osteophyte, wrist",Cardinal Health,$160.88,14
587,CARE ONE,"Infct of amniotic sac and membrns, unsp, third tri, unsp",AMERICAN SALES COMPANY,$389.34,11
588,CAREONE,"Disp fx of dist phalanx of r great toe, 7thD",AMERICAN SALES COMPANY,$170.04,8
589,PENTOXIFYLLINE,"Unsp fx the low end r rad, 7thM","Aphena Pharma Solutions - Tennessee, LLC",$434.04,11
590,Fluconazole,"Pressure ulcer of right elbow, stage 2",Claris Lifesciences Inc.,$115.30,3
591,Heavy Metal - Amalga Detox,"Unsp physl fx upr end humer, unsp arm, 7thG","Newton Laboratories, Inc.",$195.79,5
592,Caffeic Acid,Problems related to certain psychosocial circumstances,Apotheca Company,$338.90,11
593,Airmit Ace,4-Aminophenol derivatives,"Sato Pharmaceutical Co., Ltd.",$216.31,7
594,CellCept,"Complication of renal artery following a procedure, NEC","Genentech, Inc.",$531.34,4
595,CEFOTAXIME,"Lacerat unsp blood vess at ank/ft level, right leg, sequela",WOCKHARDT LIMITED,$817.74,8
596,Xartemis,Erysipelas,"PD-Rx Pharmaceuticals, Inc.",$330.76,13
597,Sprayology Stress Relief,Pain in left shoulder,Eight and Company,$779.55,10
598,Trichophyton mentagrophytes,"Subluxation of distal interphaln joint of l mid finger, subs","Nelco Laboratories, Inc.",$332.88,1
599,Clarithromycin,"Injury of lateral plantar nerve, left leg, initial encounter",Rebel Distributors Corp.,$382.82,5
600,Live Better,Hidradenitis suppurativa,The Great Atlantic & Pacific Tea Company,$932.49,14
601,Zolpidem Tartrate,"Unsp inj flexor musc/fasc/tend at forarm lv, unsp arm, sqla",Cardinal Health,$917.36,1
602,LBEL NATURAL FINISH MOISTURIZING FOUNDATION SPF 25,"Sprain of metacarpophalangeal joint of unsp finger, subs",Ventura Corporation LTD,$208.35,11
603,Carisoprodol,"Nondisp segmental fx shaft of radius, unsp arm, init",Bryant Ranch Prepack,$408.51,9
604,Nifedipine,"Strain flexor musc/fasc/tend l rng fngr at forarm lv, sqla",McKesson Packaging Services Business Unit of McKesson Corporation,$584.80,1
605,Gianvi,"External constriction of nose, subsequent encounter","MedVantx, Inc.",$416.73,7
606,Sirolimus,"Burn of first degree of left wrist, sequela",Greenstone LLC,$728.92,14
607,Family Care Nasal Relief,"Poisoning by local astringents/detergents, accidental, init",United Exchange Corp,$613.48,12
608,Povidone-Iodine,"Sltr-haris Type I physeal fx phalanx of left toe, 7thB","Medline Industries, Inc.",$66.18,2
609,"Fentanyl Citrate, Bupivacaine HCl","Displ commnt fx shaft of l femr, 7thN",Cantrell Drug Company,$576.29,12
610,Lorazepam,"Nondisp fx of 3rd metatarsal bone, r ft, 7thP",Rebel Distributors Corp,$988.15,13
611,CIPRODEX,Disorders of muscle tone of newborn,"Alcon, Inc.",$979.99,1
612,Metronidazole,"Nondisp longitud fx r patella, 7thE",REMEDYREPACK INC.,$136.61,13
613,PCXX ONE MINTE GEL ROOTBEER,"Oth mult gest w two or more monoamnio fetuses, second tri",Ross Healthcare Inc.,$252.46,4
614,Monistat 3 Combination Pack,"Occupant of pk-up/van injured in oth trnsp acc, sequela",Insight Pharmaceuticals,$570.48,6
615,CISplatin,"Sltr-haris Type II physeal fx upper end of r fibula, init","WG Critical Care, LLC",$895.98,9
616,Paroxetine,"Nondisplaced bicondylar fracture of right tibia, sequela","Preferred Pharmaceuticals, Inc",$994.47,5
617,ARIZONA CYPRESS POLLEN,"Nondisp apophyseal fx l femr, 7thE","Allergy Laboratories, Inc.",$414.18,14
618,Gnaphalium Stannum,"Retinal neovascularization, unspecified, left eye",Uriel Pharmacy Inc.,$933.60,1
619,Neutrogena Wet Skin Kids Beach and Pool,"Poisoning by antirheumatics, NEC, assault, subs",Neutrogena Corporation,$118.87,11
620,Gastritis - Ulcer,"Unsp physl fx low end rad, unsp arm, 7thG","Newton Laboratories, Inc.",$664.34,15
621,Humate-P,"Legal intervnt w inj by mch gun, law enforc offl inj, sqla",CSL Behring GmbH,$891.07,10
622,Miracle Ice,"Pnctr w fb of abd wall, periumb rgn w penet perit cav, subs","FDN Enterprises, LLC",$402.61,9
623,Nitrous Oxide,"Oth foreign object in pharynx causing asphyxiation, subs","Roberts Oxygen Company, Inc.",$940.08,13
624,Levothyroxine Sodium,Intermittent hydrarthrosis,REMEDYREPACK INC.,$579.03,12
625,"Butalbital, Acetaminophen and Caffeine","Inj superficial palmar arch of right hand, init encntr",REMEDYREPACK INC.,$314.85,11
626,Zolpidem Tartrate,"Toxic effect of unsp gases, fumes and vapors, acc, subs",Proficient Rx LP,$453.91,13
627,venlafaxine,"Kissing spine, lumbar region","Trigen Laboratories, LLC",$211.00,8
628,Cough DM,"Occup of amblnc/fire eng injured nontraf, subs",H E B,$113.19,7
629,PREMIER VALUE MEDICATED WIPES,"Sltr-haris Type II physl fx low end r fibula, 7thG","CHAIN DRUG CONSORTIUM, LLC",$997.83,8
630,Good Sense Pain and Fever,"Nondisp fx of post wall of r acetab, subs for fx w nonunion",L Perrigo Company,$360.30,1
631,SAIZEN CLICKEASY,"War op involving unsp effect of nuclear weapon, milt, subs","EMD Serono, Inc.",$212.46,1
632,Childrens Allergy Relief,"Kaschin-Beck disease, left hand",AptaPharma Inc.,$479.51,15
633,Lisinopril,"Adverse effect of antithrombotic drugs, initial encounter",Contract Pharmacy Services-PA,$898.36,7
634,Rayito de Sol,Personal history of (corrected) congenital malformations,Siscom de Argentina S.A.,$872.09,12
635,Naproxen Sodium,"Intermittent hydrarthrosis, left hand",Amneal Pharmaceuticals,$810.95,7
636,Monistat 3 Combination Pack,Pedestrian on foot injured in collision w pedl cyc in traf,"McNeil-PPC, Inc.",$584.09,10
637,Ulta Lavender Woods Anti-Bacterial Hand Sanitizer,"Occup of 3-whl mv injured in clsn w oth mv in traf, init",Ulta,$303.94,6
638,PARAID Alcohol,"Nontraumatic ischemic infarction of muscle, forearm","Planet (Shanghai) International Co., Ltd.",$804.15,9
639,Opana,"Myositis ossificans progressiva, right ankle",Endo Pharmaceuticals Inc.,$845.18,3
640,Glandulae Suprarenales Lien,"Disp fx of r radial styloid pro, subs for clos fx w nonunion",Uriel Pharmacy Inc.,$360.53,4
641,NARS FOUNDATION,"Scombroid fish poisoning, undetermined",NARS Cosmetics,$345.18,10
642,Colgate Proclinical Refreshing Mint,Dislocation of T3/T4 thoracic vertebra,Colgate-Palmolive Canada,$951.83,1
643,Focalin,"Disorder of ligament, wrist",Novartis Pharmaceuticals Corporation,$75.63,3
644,CVS Medicated Chest Rub Roll-On,"Nondisp fx of post wall of r acetab, subs for fx w nonunion",CVS Pharmacy,$156.53,5
645,MEIJER OIL FREE FACES SPF 30,Personal history of psychological abuse in childhood,Meijer Distribution Inc,$330.75,15
646,CARE ONE,"Laceration of liver, unspecified degree",AMERICAN SALES COMPANY,$199.86,15
647,Paroxetine,"Nondisp fx of lateral malleolus of r fibula, 7thM",Contract Pharmacy Services-PA,$499.16,10
648,Timolol Maleate,Abn immunolog findings in specmn from male genital organs,Bausch & Lomb Incorporated,$684.31,1
649,Smart Sense ibuprofen,"Laceration of dorsal vein of unspecified foot, sequela",Kmart Corporation,$749.20,8
650,Antacid,"Open bite of abd wall, right upper q w/o penet perit cav",Western Family Foods Inc,$403.19,12
651,Ibuprofen softgels,"Unsp open wound of r rng fngr w damage to nail, sequela",AmerisourceBergen Drug Corporation (Good Neighbor Pharmacy),$82.06,5
652,Clearasil,"Unsp open wound of oth finger w damage to nail, subs encntr",Reckitt Benckiser LLC,$34.97,6
653,Amlodipine Besylate and Benazepril Hydrochloride,"Toxic effect of venom of oth arthropod, undetermined, subs",BluePoint Laboratories,$87.60,7
654,Senna S,Abn lev drug/meds/biol subst in specimens from oth org/tiss,"EQUATE (Walmart Stores, Inc.)",$317.54,10
655,Crest Pro-Health,"Oth fx lower end of unsp ulna, subs for clos fx w routn heal",Procter & Gamble Manufacturing Company,$892.52,2
656,Benzonatate,"Unsp focal TBI w/o loss of consciousness, init","NCS HealthCare of KY, Inc dba Vangard Labs",$945.30,1
657,sore throat,"Tox eff of corrosv alkalis and alk-like substnc, asslt, init",Kroger Company,$975.18,10
658,Russian Olive,"Diffuse follicle center lymphoma, spleen","Nelco Laboratories, Inc.",$842.02,13
659,Cymbalta,"Crushing injury of abdomen, lower back, and pelvis, init",Lake Erie Medical DBA Quality Care Products LLC,$787.03,12
660,Organoplex Special Order,"Toxic effect of ketones, undetermined, subsequent encounter",Uriel Pharmacy Inc.,$318.31,15
661,Mary Kay Tinted Moisturizer Sunscreen SPF 20 Beige 1,Drug induced retention of urine,Mary Kay Inc.,$119.11,11
662,SAD Soother,Other disorders of bladder,"Native Remedies, LLC",$859.19,10
663,Zyprexa,"Toxic effect of paints and dyes, NEC, intentional self-harm","Dispensing Solutions, Inc.",$525.75,15
664,Topcare Dayhist Allergy,Intraductal carcinoma in situ of unspecified breast,Topco Associates LLC,$210.14,9
665,Male plus,"Fall from burning bldg in controlled fire, subs",VIATREXX BIO INCORPORATED,$618.20,11
666,Ascorbic Acid,"Toxic effect of harmful algae and algae toxins, self-harm",The Torrance Company,$281.67,10
667,INDOCIN,"Displ Maisonneuve's fx unsp leg, 7thF","Iroko Pharmaceuticals, LLC",$966.04,8
668,IMITREX,"Capsular glaucoma with pseudoexfoliation of lens, bilateral",Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,$575.05,11
669,PhysiciansCare Cold and Cough,"Laceration w foreign body of oth part of head, subs encntr",Acme United Corporation,$735.72,5
670,Neutrogena MoistureShine Lip Soother,"Contact w hot heating appliances, radiators and pipes, init",Neutrogena Corporation,$47.66,5
671,COTTON FIBER,"Sublux of proximal interphaln joint of l little finger, subs","ALK-Abello, Inc.",$419.98,2
672,health mart naproxen sodium,Burn of first deg mult sites of right ankle and foot,McKesson,$180.29,3
673,NITROGEN,"Puncture wound w/o foreign body of left shoulder, subs",Aspen Air US Corp,$620.88,2
674,Agaricus Phosphorus,"Toxic effect of venom of N & S American snake, undetermined",Uriel Pharmacy Inc.,$245.42,15
675,LBel,Oth spon disrupt of posterior cruciate ligament of left knee,"VENTURA INTERNATIONAL LTD.,",$842.80,9
676,AHC Revitalizing Special Gen Cream,Contusion of nose,"Carver Korea Co.,Ltd",$520.26,10
677,Simethicone,"Open bite of left index finger w/o damage to nail, sequela",Softech Pharma Pvt. Ltd,$356.62,6
678,Mentholatum for Kids,Laceration of unsp blood vessel at wrs/hnd lv of unsp arm,The Mentholatum Company,$229.47,1
679,Umcka ColdCare FastActives Mint-Menthol,"Corrosion of third degree of unsp lower leg, init encntr","Nature's Way Products, Inc.",$371.21,11
680,AZITHROMYCIN,"Pnctr w/o fb of unsp great toe w damage to nail, sequela",REMEDYREPACK INC.,$634.03,3
681,mark,"Inj intrinsic msl/tnd at ankle and foot level, right foot","Avon Products, Inc",$909.35,7
682,FLUOROURACIL,"Path fx in oth disease, r humerus, subs for fx w delay heal",Rebel Distributors Corp,$811.80,10
683,Iodine Bush,Benign carcinoid tumor of the thymus,"Nelco Laboratories, Inc.",$612.10,10
684,Saline Laxative,"Disp fx of hook pro of hamate bone, l wrs, 7thP",Supervalu Inc,$793.41,15
685,Oxycodone and Acetaminophen,"Other assault by drowning and submersion, initial encounter","Amneal Pharmaceuticals, LLC",$396.96,14
686,Bupivacaine Hydrochloride,"Displacement of umbrella device, subsequent encounter","Hospira, Inc.",$726.47,5
687,GOAT MILK AND LAVENDER SUN,"Toxic effect of other seafood, assault, initial encounter","SKINFOOD CO., LTD.",$700.37,4
688,Moexipril Hydrochloride and Hydrochlorothiazide,"Nondisp fx of l tibial tuberosity, 7thK",Teva Pharmaceuticals USA Inc,$652.54,12
689,RUE21 Doughnut Sprinkles Antibacterial Hand Sanitizer,"Nondisp unsp condyle fx low end l femr, 7thD",ENCHANTE ACCESSORIES INC.,$468.84,4
690,Clean and Clear,"Unsp inflammatory spondylopathy, multiple sites in spine","Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",$138.84,8
691,ARTEMISIA FRIGIDA POLLEN,"Strain of flexor musc/fasc/tend finger at wrs/hnd lv, subs","ALK-Abello, Inc.",$378.71,9
692,Levothyroxine,"Burn 3rd deg mu sites of shldr/up lmb, except wrs/hnd, subs","Northwind Pharmaceuticals, LLC",$531.88,11
693,acid reducer,"Nondisp fx of base of unsp MC bone, subs for fx w routn heal",HyVee Inc,$662.08,2
694,Triazolam,Unspecified blood type,"Roxane Laboratories, Inc.",$688.56,3
695,Oxygen,"Nasal polyp, unspecified","Youngstown Oxygen & Welding Supply, Inc.",$579.29,7
696,Methenamine Hippurate,Occupant of 3-whl mv injured in collision w nonmtr vehicle,Rising Pharmaceuticals Inc,$865.07,4
697,clonidine hydrochloride,Adverse effect of opium,NorthStar RxLLC,$353.49,5
698,Lymphdrainex,"Obstructed labor due to face presentation, unsp","Energique, Inc.",$340.85,9
699,Up and Up alcohol,"Sltr-haris Type I physl fx upr end rad, unsp arm, 7thG",Target Corporation,$621.11,5
700,Flu Rescue,Unspecified lesions of oral mucosa,Apotheca Company,$442.02,8
701,Verapamil Hydrochloride,"Pnctr w fb of abd wall, left lower q w penet perit cav, init","PD-Rx Pharmaceuticals, Inc.",$795.65,12
702,Metformin Hydrochloride,"Dislocation of interphaln joint of right great toe, subs",Amneal Pharmaceuticals,$559.82,13
703,Degree,"Sublux of proximal interphaln joint of left thumb, sequela",Conopco Inc. d/b/a Unilever,$991.86,15
704,Xarelto,Other specified injury of brachial artery,"Janssen Pharmaceuticals, Inc.",$863.16,7
705,Lac-Hydrin,Other injury due to other accident to fishing boat,Ranbaxy Laboratories Inc.,$753.87,11
706,Quetiapine fumarate,"Athscl unsp type bypass of the extrm w intrmt claud, bi legs",REMEDYREPACK INC.,$791.68,6
707,UltrasolSunscreen,Presence of coronary angioplasty implant and graft,Fischer Pharmaceuticals Ltd,$754.08,6
708,Ziprasidone hydrochloride,"Major osseous defect, lower leg",TYA Pharmaceuticals,$507.15,7
709,Meloxicam,"Unspecified disp fx of seventh cervical vertebra, sequela",ReadyMeds,$915.91,12
710,Allergy,Strain of other muscles and tendons at lower leg level,Medicine Shoppe International Inc,$790.22,2
711,Mycobutin,Generalized abdominal tenderness,Pharmacia and Upjohn Company,$412.62,10
712,Gentamicin Sulfate,"Other physeal fracture of phalanx of left toe, 7thK",Perrigo New York Inc,$995.02,4
713,Hydralazine Hydrochloride,"Unspecified fracture of left talus, sequela","Ascend Laboratories, LLC",$374.53,5
714,Dukal Alcohol Prep Pad,"Nondisp fx of med condyle of l femr, 7thR",Dukal Corporation,$242.33,9
715,Oxygen,"Pretrm prem ROM, onset labor w/n 24 hours of rupt, third tri",Banner Home Care of Arizona,$58.09,1
716,Lip Smacker SPF Cherry Berry Ball,"Legal intervnt w firearm disch, law enforc offl inj, init",Bonne Bell LLC,$286.27,11
717,Childrens Pain Relief,"Burn third degree of head, face, and neck, unsp site, subs","Shopko Stores Operating Co., LLC",$353.76,3
718,ATOMY TOOTHPASTE,"Small cell B-cell lymphoma, intrathoracic lymph nodes",ATOMY CO LTD,$571.18,6
719,Doxycycline Hyclate,Injury of nerves at shoulder and upper arm level,Chartwell RX LLC,$531.05,15
720,Scott-Vincent Borba,"Felty's syndrome, unspecified shoulder",Scott-Vincent Borba,$147.69,9
